id,name,display_name,formatted_address,short_formatted_address,postal_code,latitude,longitude,rating,user_rating_count,price_level,price_range_start,price_range_start_currency,price_range_end,price_range_end_currency,primary_type,takeout,delivery,dine_in,curbside_pickup,reservable,serves_breakfast,serves_lunch,serves_dinner,serves_beer,serves_wine,serves_brunch,serves_vegetarian_food,outdoor_seating,live_music,menu_for_children,serves_cocktails,serves_dessert,serves_coffee,good_for_children,allows_dogs,restroom,good_for_groups,good_for_watching_sports,accepts_debit_cards,accepts_cash_only,accepts_nfc,free_parking_lot,free_street_parking,valet_parking,wheelchair_accessible_parking,wheelchair_accessible_entrance,wheelchair_accessible_restroom,wheelchair_accessible_seating
ChIJYQWTyTVfwokRzZtviJxFeb8,places/ChIJYQWTyTVfwokRzZtviJxFeb8,Bel Aire Diner,"31-91 21st St, Astoria, NY 11106, USA","31-91 21st St, Astoria",11106,40.7652923,-73.93128010000001,4.2,3585,PRICE_LEVEL_MODERATE,10,USD,20,USD,Diner,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True
ChIJJVRw3ddYwokRe4_1dykD5Qk,places/ChIJJVRw3ddYwokRe4_1dykD5Qk,Burger King,"3310 21st St, Astoria, NY 11106, USA","3310 21st St, Astoria",11106,40.764618399999996,-73.9328203,3.4,587,PRICE_LEVEL_INEXPENSIVE,10,USD,20,USD,Fast Food Restaurant,True,True,True,,,True,True,True,False,False,,,False,,True,False,True,True,True,False,True,True,,True,False,True,True,,False,True,True,True,
ChIJcVPlWDRfwokR6BvLcM1Ipb4,places/ChIJcVPlWDRfwokR6BvLcM1Ipb4,Popeyes Louisiana Kitchen,"33-18 21st St, Long Island City, NY 11106, USA","33-18 21st St, Long Island City",11106,40.764514299999995,-73.932938,3.9,795,PRICE_LEVEL_INEXPENSIVE,10,USD,20,USD,Restaurant,True,True,True,False,False,,True,True,False,False,False,,True,False,True,False,True,False,True,False,True,,False,True,False,True,True,True,,True,True,,True
ChIJ1UBSXzRfwokRGZvemB9MReY,places/ChIJ1UBSXzRfwokRGZvemB9MReY,Dunkin',"3326 21st St, Long Island City, NY 11106, USA","3326 21st St, Long Island City",11106,40.7644063,-73.9330292,3.9,313,PRICE_LEVEL_INEXPENSIVE,1,USD,10,USD,Coffee Shop,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,False,True,True,True,,False,,False,True,False,True,True,,,,True,,
ChIJ-9ZvKAlfwokRtJmj5MYzz5w,places/ChIJ-9ZvKAlfwokRtJmj5MYzz5w,Spring Food Spot,"14-21 Broadway, Astoria, NY 11106, USA","14-21 Broadway, Astoria",11106,40.766051100000006,-73.93273119999999,4.6,78,PRICE_LEVEL_INEXPENSIVE,,,,,Restaurant,True,True,True,,False,True,True,True,False,False,,True,False,False,True,False,,True,True,,,,False,True,False,True,,,False,False,,,
ChIJEYLkeQBfwokRYZlXQGaR1Gk,places/ChIJEYLkeQBfwokRYZlXQGaR1Gk,Iw skx,"33rd Ave, Astoria, NY 11106, USA","33rd Ave, Astoria",11106,40.764648199999996,-73.9322597,,,,,,,,American Restaurant,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJh5JzbfZYwokRzeF2GgGYd2Y,places/ChIJh5JzbfZYwokRzeF2GgGYd2Y,Nougatine by Jean-Georges,"1 Central Park W, New York, NY 10023, USA","1 Central Park W, New York",10023,40.7690255,-73.98162549999999,4.3,660,PRICE_LEVEL_VERY_EXPENSIVE,100,USD,,,French Restaurant,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,True,True,True,False,False,True,True,False,,False,,,,,,True,True,True
ChIJ4_jpu9VZwokR29jlqfhpNxo,places/ChIJ4_jpu9VZwokR29jlqfhpNxo,Le Pain Quotidien,"1800 Broadway, Columbus Cir, New York, NY 10019, USA","1800 Broadway, Columbus Cir, New York",10019,40.767334,-73.98141509999999,3.8,491,PRICE_LEVEL_MODERATE,10,USD,20,USD,Restaurant,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,True,,True,True,False,True,False,True,,,False,False,True,True,True
ChIJecrgaWNZwokRAx8LGJsAGV8,places/ChIJecrgaWNZwokRAx8LGJsAGV8,Starbucks,"240 Central Park S, New York, NY 10019, USA","240 Central Park S, New York",10019,40.7670726,-73.9810516,3.8,330,PRICE_LEVEL_MODERATE,1,USD,10,USD,Coffee Shop,True,True,True,,False,True,True,False,False,False,,False,False,False,False,False,True,True,,,True,,False,True,False,True,,,False,False,True,True,True
ChIJh5JzbfZYwokRR7KqJOksL7Y,places/ChIJh5JzbfZYwokRR7KqJOksL7Y,Jean-Georges,"1 Central Park W, New York, NY 10023, USA","1 Central Park W, New York",10023,40.7690576,-73.9815796,4.5,1332,PRICE_LEVEL_VERY_EXPENSIVE,100,USD,,,French Restaurant,True,True,True,,True,True,True,True,True,True,True,,True,False,False,True,True,True,False,False,True,True,False,True,False,True,,,,,True,True,True
ChIJB05L5jZZwokRueYCwR8ZPck,places/ChIJB05L5jZZwokRueYCwR8ZPck,Farinella,"1796 Broadway, New York, NY 10019, USA","1796 Broadway, New York",10019,40.767235899999996,-73.981421,4.5,586,PRICE_LEVEL_INEXPENSIVE,10,USD,20,USD,Pizza Restaurant,True,True,True,True,False,True,True,True,True,True,,,True,False,,,True,True,True,True,True,True,False,True,False,True,,,False,False,True,True,True
ChIJ45OijtdZwokROVZTtFpNMm4,places/ChIJ45OijtdZwokROVZTtFpNMm4,JG CPS,"220 Central Park S, New York, NY 10019, USA","220 Central Park South, 220 Central Park S, New York",10019,40.7671443,-73.9802548,1,1,,,,,,Restaurant,,,True,,,,True,True,True,True,,,,,,True,,True,,,True,,,,False,,,,,,True,,
ChIJqy119S1ZwokREdgBteMWB3g,places/ChIJqy119S1ZwokREdgBteMWB3g,Cristino,"59 Columbus Cir, New York, NY 10023, USA","2 Columbus Circle, 59 Columbus Cir, New York",10023,40.7674784,-73.9818706,,,,,,,,Restaurant,True,,True,,,,,True,True,True,,,,,,True,True,,,,True,,,,,,,,,,,,
ChIJ2QZOdTpawokRU_eN_EPJaX8,places/ChIJ2QZOdTpawokRU_eN_EPJaX8,The River Café,"1 Water St, Brooklyn, NY 11201, USA","1 Water St, Brooklyn",11201,40.703834199999996,-73.9947936,4.4,2262,PRICE_LEVEL_VERY_EXPENSIVE,100,USD,,,American Restaurant,,False,True,False,True,,,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,True,False,True,False,,True,True,True,True,True
ChIJv1e4pTBawokRBEaJGGqb1YQ,places/ChIJv1e4pTBawokRBEaJGGqb1YQ,Luke's Lobster Brooklyn Bridge Park,"11 Water St, Brooklyn, NY 11201, USA","11 Water St, Brooklyn",11201,40.703479699999995,-73.9941407,4.3,1174,PRICE_LEVEL_MODERATE,20,USD,30,USD,Seafood Restaurant,True,True,True,True,False,False,True,True,True,True,,True,True,False,True,,,,True,,True,True,False,True,False,True,,,,,True,,
ChIJH1Jk24RZwokRoCe9D9D6up0,places/ChIJH1Jk24RZwokRoCe9D9D6up0,Panera Bread,"525 E 68th St, New York, NY 10065, USA","525 E 68th St, New York",10065,40.7644168,-73.95419179999999,2.3,23,PRICE_LEVEL_MODERATE,10,USD,20,USD,Cafe,True,,True,False,False,True,True,True,False,False,True,True,,False,True,False,True,True,True,False,True,True,False,True,False,True,,,False,,True,,True
ChIJ7xMLfP5ZwokRKmE6LxiNWiw,places/ChIJ7xMLfP5ZwokRKmE6LxiNWiw,NAYA,"1314 York Ave, New York, NY 10021, USA","1314 York Ave, New York",10021,40.765515,-73.9543635,4,31,PRICE_LEVEL_INEXPENSIVE,10,USD,20,USD,Middle Eastern Restaurant,True,True,True,,,,True,True,,,,True,,False,,,True,,True,,,,False,,,,,,,False,,,
ChIJodmrCABZwokRMlfO0f1-40c,places/ChIJodmrCABZwokRMlfO0f1-40c,Khan Express Halal Food,"511 E 67th St, New York, NY 10065, USA","511 E 67th St, New York",10065,40.7638604,-73.9561682,4.9,24,PRICE_LEVEL_INEXPENSIVE,1,USD,10,USD,Restaurant,True,,True,,,,True,True,,,,,,False,,,,,True,,,,False,,,,,,,,,,
ChIJNbPxnI1ZwokRnDmN-pkRg1I,places/ChIJNbPxnI1ZwokRnDmN-pkRg1I,The Twins Halal Food,"York Avenue &, E 67th St, New York, NY 10065, USA","York Avenue &, E 67th St, New York",10065,40.763616999999996,-73.956211,4.6,22,,1,USD,10,USD,Restaurant,True,True,True,,,True,True,True,,,,,False,False,,,,,True,,,,False,,,,,,,,,,
